,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
0,芦潮港农场西区新村 ,3.367295829986474,4.237289838207198,9.526974266377731,31.00934,121.204506,3.2593871873371785
1,云锦雅苑 ,2.5649493574615367,4.6443908991413725,9.576648764883153,31.30603,121.46151,1.9899140692432835
2,丽泽荷亭苑 ,2.302585092994046,4.822295664976738,9.635085094816304,31.146666,121.524742,2.150254108116976
3,新舒苑 ,2.4849066497880004,4.637250079451503,9.635738817791797,31.160841,121.514259,1.9604334871538076
4,新舒苑 ,2.4849066497880004,4.820281565605037,9.637110246578176,31.39034,121.48723,2.7359208080922026
5,棕榈滩海景城 ,1.791759469228055,4.5217885770490405,9.692519577152051,31.38396,121.21984,3.022236748408439
6,丽泽荷亭苑 ,2.302585092994046,4.631812116934513,9.702533483594172,31.22345,121.52437,1.1512799597437047
7,江海新村 ,3.2188758248682006,4.442415934686665,9.709599359370708,31.179482,121.426483,1.6951118305835844
8,万祥馨苑 ,2.5649493574615367,4.79231343306126,9.716374535006043,30.96501,121.8165,3.472153045546115
9,云帆佳苑 ,2.4849066497880004,4.420044701861403,9.731987234373756,31.25961,121.59786,2.0570358717184813
10,佳兆业珊瑚湾(公寓) ,2.0794415416798357,4.469235908747258,9.73831805455974,31.13202,121.53474,2.3129360543925315
11,云树欣居 ,2.3978952727983707,4.81112688587948,9.746365796763916,31.236732,121.434411,0.7556672682178712
12,江海花园 ,3.044522437723423,4.950177325059141,9.761463052506711,31.293877,121.524399,1.9273916740171992
13,绿地香颂(奉贤)(公寓) ,1.9459101490553132,4.141387168555412,9.769441741907062,31.1341,121.4031,2.299068041545366
14,德盈佳园 ,2.3978952727983707,4.941642422609304,9.769956159911606,31.174177,121.484912,1.6912015951152186
15,丽泽兰馨苑 ,2.3978952727983707,4.40720693320418,9.779906490764773,31.25968,121.49316,1.1442995381586603
16,佳兆业珊瑚湾(公寓) ,2.0794415416798357,4.471181545984774,9.782618510055139,31.38273,121.44211,2.691108233001264
17,金水苑 ,2.4849066497880004,4.894999950497331,9.796013694230895,31.06812,121.3852,2.7896199616628876
18,棕榈滩海景城 ,1.791759469228055,4.503691017038237,9.800402224452803,31.257831,121.577791,1.9020873885192229
19,丽水湾 ,2.5649493574615367,4.441591872011272,9.812194294089737,31.167368,121.753679,2.8478945054190783
20,书院一号公寓 ,2.302585092994046,4.553876891600541,9.821300881548181,31.221663,121.514336,0.9748842448247964
21,海尚墅林苑 ,2.0794415416798357,4.461068842013835,9.824498456285756,31.21965,121.454796,0.27644951198616713
22,绿地香颂(奉贤)(公寓) ,1.9459101490553132,4.129711706059392,9.825580063659602,31.136295,121.394699,2.2992986679041287
23,解放新村 ,3.6375861597263857,4.036715449385464,9.827631900232593,31.14924,121.52005,2.1115677780160897
24,江海新村 ,3.258096538021482,4.442651256490317,9.830325286907144,31.122431,121.331103,2.5658954878877647
25,佳兆业珊瑚湾(公寓) ,2.1972245773362196,3.9233585150918917,9.8513517981156,31.180840000000003,121.37506,1.971349396716938
26,万达广场(松江) ,1.6094379124341003,3.73552446193698,9.856867531900901,31.058593,121.24428,3.0391700593001714
27,临港海滨国际花园 ,2.0794415416798357,4.361696368200631,9.859326656750358,31.29611,121.443008,1.8764660552621388
28,海尚墅林苑 ,1.791759469228055,4.481871969643598,9.864278839310847,31.37113,121.24928,2.9171770675758046
29,绿地香颂(奉贤)(公寓) ,1.9459101490553132,4.1330843905380314,9.864798697921016,31.232775,121.575378,1.7938324412109015
30,丽泽兰馨苑 ,2.3978952727983707,4.09617621705107,9.86775674258033,31.225725,121.467163,-0.8184611850548481
31,江秋新苑(公寓) ,1.791759469228055,4.7902379684500715,9.879707023870724,31.130893,121.422559,2.2916346954224336
32,蓝色城邦(公寓) ,2.1972245773362196,4.4738078677912645,9.884049858643653,31.171485,121.305395,2.39202063557624
33,贝港二区 ,3.044522437723423,4.454347296253507,9.891819747668446,31.29163,121.535263,1.9443062387703651
34,绿地香颂(奉贤)(公寓) ,2.0794415416798357,4.391234115424795,9.894295434167212,31.349120000000006,121.37286,2.5420335301420134
35,同润蓝美俊庭 ,1.3862943611198906,4.474605815966975,9.894799924138562,30.96166,121.74703,3.4083444433125827
36,玉兰二村 ,3.091042453358316,4.791649752930709,9.89520333294843,31.04458,121.18907,3.1756765571041727
37,荷风翠庭 ,2.302585092994046,3.9110225050945626,9.91447694733573,31.300051,121.493694,1.9255866560656774
38,德盈佳园 ,2.3978952727983707,4.419563238202607,9.914773624553096,31.04474,121.53817,2.901668165592743
39,育秀一区 ,3.091042453358316,4.584150818764016,9.924514919728203,31.239208,121.672165,2.447313824072714
