,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
0,芦潮港农场西区新村 ,29.0, 69.22,13725,31.00934,121.204506,26.215936664018944
1,云锦雅苑 ,13.0, 104,14424,31.30603,121.46151,7.287652610860347
2,丽泽荷亭苑 ,10.0, 124.25,15292,31.146666,121.524742,8.545869006906837
3,新舒苑 ,12.0, 103.26,15302,31.160841,121.514259,7.064152143975801
4,新舒苑 ,12.0, 124,15323,31.39034,121.48723,15.36244753724511
5,棕榈滩海景城 ,6.0, 92,16196,31.38396,121.21984,20.674439370934643
6,丽泽荷亭苑 ,10.0, 102.7,16359,31.22345,121.52437,2.932466333197348
7,江海新村 ,25.0, 84.98,16475,31.179482,121.426483,5.605228263710837
8,万祥馨苑 ,13.0, 120.58,16587,30.96501,121.8165,32.093870489080594
9,云帆佳苑 ,12.0, 83.1,16848,31.25961,121.59786,7.576533389849648
10,佳兆业珊瑚湾(公寓) ,8.0, 87.29,16955,31.13202,121.53474,10.061850500650078
11,云树欣居 ,11.0, 122.87,17092,31.236732,121.434411,2.3517419779813684
12,江海花园 ,21.0, 141.2,17352,31.293877,121.524399,6.720874716298713
13,绿地香颂(奉贤)(公寓) ,7.0, 62.89,17491,31.1341,121.4031,10.105300335584417
14,德盈佳园 ,11.0, 140,17500,31.174177,121.484912,5.440514914842157
15,丽泽兰馨苑 ,11.0, 82.04,17675,31.25968,121.49316,3.0003772695616284
16,佳兆业珊瑚湾(公寓) ,8.0, 87.46,17723,31.38273,121.44211,14.729043911885926
17,金水苑 ,12.0, 133.62,17962,31.06812,121.3852,16.394996488527394
18,棕榈滩海景城 ,6.0, 90.35,18041,31.257831,121.577791,6.455638834917936
19,丽水湾 ,13.0, 84.91,18255,31.167368,121.753679,17.03824966607943
20,书院一号公寓 ,10.0, 95,18422,31.221663,121.514336,2.433969037270079
21,海尚墅林苑 ,8.0, 86.58,18481,31.21965,121.454796,1.52381780276026
22,绿地香颂(奉贤)(公寓) ,7.0, 62.16,18501,31.136295,121.394699,10.118206726400206
23,解放新村 ,38.0, 56.64,18539,31.14924,121.52005,8.22493559010235
24,江海新村 ,26.0, 85,18589,31.122431,121.331103,13.200849776635067
25,佳兆业珊瑚湾(公寓) ,9.0, 50.57,18984,31.180840000000003,121.37506,7.398091938329314
26,万达广场(松江) ,5.0, 41.91,19089,31.058593,121.24428,21.077610897045325
27,临港海滨国际花园 ,8.0, 78.39,19136,31.29611,121.443008,6.54656254922744
28,海尚墅林苑 ,6.0, 88.4,19231,31.37113,121.24928,18.622399333809074
29,绿地香颂(奉贤)(公寓) ,7.0, 62.37,19241,31.232775,121.575378,5.764932143246916
30,丽泽兰馨苑 ,11.0, 60.11,19298,31.225725,121.467163,0.6132066633069678
31,江秋新苑(公寓) ,6.0, 120.33,19530,31.130893,121.422559,10.006800569818843
32,蓝色城邦(公寓) ,9.0, 87.69,19615,31.171485,121.305395,11.171328204911315
33,贝港二区 ,21.0, 86,19768,31.29163,121.535263,6.8199056489026795
34,绿地香颂(奉贤)(公寓) ,8.0, 80.74,19817,31.349120000000006,121.37286,12.771808274506142
35,同润蓝美俊庭 ,4.0, 87.76,19827,30.96166,121.74703,30.12845315118882
36,玉兰二村 ,22.0, 120.5,19835,31.04458,121.18907,24.143419578802156
37,荷风翠庭 ,10.0, 49.95,20221,31.300051,121.493694,6.7678302513217705
38,德盈佳园 ,11.0, 83.06,20227,31.04474,121.53817,18.200500478155586
39,育秀一区 ,22.0, 97.92,20425,31.239208,121.672165,11.30859918044661
40,同润蓝美俊庭 ,4.0, 92.46,20550,31.256691,121.487282,2.6209212109057187
41,文化新村(惠南) ,25.0, 97.9,20634,31.19806,121.39915,5.296413374613534
42,德盈佳园 ,11.0, 92.06,20639,31.210490000000004,121.62429,8.761906982785305
43,万达广场(松江) ,5.0, 53.97,20753,31.264589,121.488897,3.376640898359405
44,泰安公寓 ,9.0, 108.37,20763,31.132944,121.038881,26.527666180075272
45,江秋新苑(公寓) ,6.0, 134.21,20863,31.251240000000006,121.43194,3.1301633055290936
46,松云银座 ,13.0, 45.99,20875,31.221203000000006,121.54998,4.404447627952949
47,阳光园(二期)(三期) ,13.0, 142.45,21054,30.904539,121.44577,31.33436767448109
48,普康苑 ,14.0, 155,21291,31.27428,121.49782,4.411463809953961
49,荷风华庭 ,10.0, 49.62,21363,31.173398,121.523964,6.169146987383398
50,古华新村 ,28.0, 81,21605,31.147831,121.49757,8.046044739439546
51,育秀三区 ,24.0, 67.98,21742,31.187575,121.520728,4.896905765291061
52,贝港南区 ,24.0, 74.81,21923,31.016466,121.209877,25.482783576994706
53,贝港一区 ,23.0, 71.94,21963,31.225307,121.428589,2.653409283825628
54,荷风景庭 ,10.0, 49.62,21967,31.235195,121.527527,3.066606829986091
55,运河新村(南桥) ,24.0, 84,22024,31.246792,121.559204,5.0854034558783905
56,贝港一区 ,24.0, 74.78,22065,31.254795,121.43589,3.199474781322451
57,金碧汇虹苑 ,11.0, 100.93,22293,30.901913,121.808311,36.84400825235251
58,三皇桥小区 ,25.0, 123,22521,31.253994,121.493561,2.5082869881832854
59,江秋新苑(公寓) ,6.0, 79.43,22662,31.183702,121.696205,13.4220801890502
60,贝港二区 ,23.0, 78.46,22815,31.184894,121.551224,6.195696527900253
61,嘉丰大厦 ,21.0, 67.79,22865,31.1004,121.35626,14.186788496012632
62,紫薇茗庭 ,5.0, 51,22902,31.373490000000004,121.22704,19.674604315610026
